Sigla;Código;Estado;Desocupados - homens (2012 T1);Desocupados - mulheres (2012 T1);Desocupados - homens (2026 T1);Desocupados - mulheres (2026 T1);total;total_branca;total_preta_parda;homem_branca;homem_preta_parda;mulher_branca;mulher_preta_parda
AC;12;Acre;45,3;54,7;53,2;46,8;13,6069;13,8069;13,5414;10,7961;9,6870;16,1304;16,7108
AL;27;Alagoas;44,7;55,3;50,7;49,3;20,2171;19,1651;20,5605;12,1218;13,3572;24,0937;25,8566
AM;13;Amazonas;47,5;52,5;46,8;53,2;16,8073;15,9875;16,9955;12,2330;12,8226;18,7650;20,7170
AP;16;Amapá;48,1;51,9;51,1;48,9;13,5867;14,3892;13,4151;11,1168;10,7494;16,6486;15,9085
BA;29;Bahia;43,8;56,2;44,7;55,3;17,8498;17,5380;17,9356;10,5517;10,9828;22,5727;23,2171
CE;23;Ceará;51,1;48,9;52,7;47,3;19,4993;18,5271;19,8825;12,1869;12,8213;23,0197;24,9523
DF;53;Distrito Federal;41;59;47,9;52,1;15,0964;15,0613;15,1263;11,3780;10,4813;17,7381;19,3073
ES;32;Espírito Santo;46,4;53,6;47,5;52,5;17,1111;16,5106;17,4789;11,7986;12,0176;20,4645;22,1966
GO;52;Goiás;41;59;47,5;52,5;15,1865;14,9626;15,2970;10,6364;10,5319;18,4408;19,5879
MA;21;Maranhão;47,2;52,8;49,1;50,9;16,6696;16,4218;16,7089;11,6652;11,4374;19,8811;20,7396
MG;31;Minas Gerais;43,1;56,9;48,6;51,4;17,5021;17,1794;17,7076;11,3197;11,6191;22,1866;23,0758
MS;50;Mato Grosso do Sul;47,2;52,8;45,3;54,7;15,3098;14,9021;15,5672;10,4462;11,1269;18,5932;19,5428
MT;51;Mato Grosso;44,1;55,9;42,8;57,2;14,2400;14,0835;14,2702;9,4797;9,2657;17,7828;18,6959
PA;15;Pará;43,2;56,8;48,3;51,7;16,4743;16,1816;16,5602;11,5243;11,0267;19,8351;21,5911
PB;25;Paraíba;44,4;55,6;48,9;51,1;18,9208;18,8879;18,9453;12,4802;12,4008;23,6429;24,0356
PE;26;Pernambuco;43,9;56,1;48,7;51,3;19,3062;18,9502;19,4184;12,3128;12,8688;23,3579;24,2434
PI;22;Piauí;51,2;48,8;55,1;44,9;17,9604;16,9481;18,2318;12,2583;11,2048;20,4941;23,6954
PR;41;Paraná;40,3;59,7;46,3;53,7;15,3901;15,4533;15,3073;11,2401;10,8156;18,8967;19,3654
RJ;33;Rio de Janeiro;44,2;55,8;45,4;54,6;16,7163;16,0975;17,2431;12,0000;12,8649;19,2037;20,9577
RN;24;Rio Grande do Norte;51;49;48,2;51,8;18,3077;18,1019;18,4452;11,1669;11,0863;23,5471;24,4229
RO;11;Rondônia;43,4;56,6;33;67;17,0142;16,7277;17,1015;12,1111;12,5441;20,4129;21,0614
RR;14;Roraima;41,8;58,2;43,4;56,6;13,6393;13,6518;13,6336;10,8148;10,4766;16,1359;16,5602
RS;43;Rio Grande do Sul;42,8;57,2;47,4;52,6;15,3567;15,3373;15,4482;11,3084;11,5199;18,8682;19,1077
SC;42;Santa Catarina;42,7;57,3;44,6;55,4;16,0394;16,1244;15,6162;12,3391;11,5173;19,4148;19,6466
SE;28;Sergipe;46,5;53,5;40,3;59,7;18,8265;17,2643;19,3179;10,8305;11,2703;21,7409;25,6377
SP;35;São Paulo;45,4;54,6;46,2;53,8;17,0713;16,9644;17,2555;12,1230;12,2352;20,7712;21,7676
TO;17;Tocantins;55,3;44,7;46,2;53,8;15,8158;15,7018;15,7687;10,7339;11,6826;19,6637;19,6294
