Sigla;Código;Estado;Melhora;Ano;IDH
AC;12;Acre;0,352;1991;0,402
AL;27;Alagoas;0,376;1991;0,37
AM;13;Amazonas;0,337;1991;0,43
AP;16;Amapá;0,28700000000000003;1991;0,472
BA;29;Bahia;0,373;1991;0,386
CE;23;Ceará;0,368;1991;0,405
DF;53;Distrito Federal;0,25;1991;0,616
ES;32;Espírito Santo;0,29900000000000004;1991;0,505
GO;52;Goiás;0,32799999999999996;1991;0,487
MA;21;Maranhão;0,388;1991;0,357
MG;31;Minas Gerais;0,33100000000000007;1991;0,478
MS;50;Mato Grosso do Sul;0,30900000000000005;1991;0,488
MT;51;Mato Grosso;0,36300000000000004;1991;0,449
PA;15;Pará;0,34500000000000003;1991;0,413
PB;25;Paraíba;0,378;1991;0,382
PE;26;Pernambuco;0,327;1991;0,44
PI;22;Piauí;0,402;1991;0,362
PR;41;Paraná;0,31499999999999995;1991;0,507
RJ;33;Rio de Janeiro;0,246;1991;0,573
RN;24;Rio Grande do Norte;0,35000000000000003;1991;0,428
RO;11;Rondônia;0,37900000000000006;1991;0,407
RR;14;Roraima;0,321;1991;0,459
RS;43;Rio Grande do Sul;0,2759999999999999;1991;0,542
SC;42;Santa Catarina;0,2899999999999999;1991;0,543
SE;28;Sergipe;0,35300000000000004;1991;0,408
SP;35;São Paulo;0,26;1991;0,578
TO;17;Tocantins;0,42800000000000005;1991;0,369
AC;12;Acre;0,352;2000;0,517
AL;27;Alagoas;0,376;2000;0,471
AM;13;Amazonas;0,337;2000;0,515
AP;16;Amapá;0,28700000000000003;2000;0,577
BA;29;Bahia;0,373;2000;0,512
CE;23;Ceará;0,368;2000;0,541
DF;53;Distrito Federal;0,25;2000;0,725
ES;32;Espírito Santo;0,29900000000000004;2000;0,64
GO;52;Goiás;0,32799999999999996;2000;0,615
MA;21;Maranhão;0,388;2000;0,476
MG;31;Minas Gerais;0,33100000000000007;2000;0,624
MS;50;Mato Grosso do Sul;0,30900000000000005;2000;0,613
MT;51;Mato Grosso;0,36300000000000004;2000;0,601
PA;15;Pará;0,34500000000000003;2000;0,518
PB;25;Paraíba;0,378;2000;0,506
PE;26;Pernambuco;0,327;2000;0,544
PI;22;Piauí;0,402;2000;0,484
PR;41;Paraná;0,31499999999999995;2000;0,65
RJ;33;Rio de Janeiro;0,246;2000;0,664
RN;24;Rio Grande do Norte;0,35000000000000003;2000;0,552
RO;11;Rondônia;0,37900000000000006;2000;0,537
RR;14;Roraima;0,321;2000;0,598
RS;43;Rio Grande do Sul;0,2759999999999999;2000;0,664
SC;42;Santa Catarina;0,2899999999999999;2000;0,674
SE;28;Sergipe;0,35300000000000004;2000;0,518
SP;35;São Paulo;0,26;2000;0,702
TO;17;Tocantins;0,42800000000000005;2000;0,525
AC;12;Acre;0,352;2010;0,663
AL;27;Alagoas;0,376;2010;0,631
AM;13;Amazonas;0,337;2010;0,674
AP;16;Amapá;0,28700000000000003;2010;0,708
BA;29;Bahia;0,373;2010;0,66
CE;23;Ceará;0,368;2010;0,682
DF;53;Distrito Federal;0,25;2010;0,824
ES;32;Espírito Santo;0,29900000000000004;2010;0,74
GO;52;Goiás;0,32799999999999996;2010;0,735
MA;21;Maranhão;0,388;2010;0,639
MG;31;Minas Gerais;0,33100000000000007;2010;0,731
MS;50;Mato Grosso do Sul;0,30900000000000005;2010;0,729
MT;51;Mato Grosso;0,36300000000000004;2010;0,725
PA;15;Pará;0,34500000000000003;2010;0,646
PB;25;Paraíba;0,378;2010;0,658
PE;26;Pernambuco;0,327;2010;0,673
PI;22;Piauí;0,402;2010;0,646
PR;41;Paraná;0,31499999999999995;2010;0,749
RJ;33;Rio de Janeiro;0,246;2010;0,761
RN;24;Rio Grande do Norte;0,35000000000000003;2010;0,684
RO;11;Rondônia;0,37900000000000006;2010;0,69
RR;14;Roraima;0,321;2010;0,707
RS;43;Rio Grande do Sul;0,2759999999999999;2010;0,746
SC;42;Santa Catarina;0,2899999999999999;2010;0,774
SE;28;Sergipe;0,35300000000000004;2010;0,665
SP;35;São Paulo;0,26;2010;0,783
TO;17;Tocantins;0,42800000000000005;2010;0,699
AC;12;Acre;0,352;2012;0,705
AL;27;Alagoas;0,376;2012;0,657
AM;13;Amazonas;0,337;2012;0,706
AP;16;Amapá;0,28700000000000003;2012;0,709
BA;29;Bahia;0,373;2012;0,684
CE;23;Ceará;0,368;2012;0,709
DF;53;Distrito Federal;0,25;2012;0,824
ES;32;Espírito Santo;0,29900000000000004;2012;0,747
GO;52;Goiás;0,32799999999999996;2012;0,744
MA;21;Maranhão;0,388;2012;0,669
MG;31;Minas Gerais;0,33100000000000007;2012;0,743
MS;50;Mato Grosso do Sul;0,30900000000000005;2012;0,732
MT;51;Mato Grosso;0,36300000000000004;2012;0,743
PA;15;Pará;0,34500000000000003;2012;0,677
PB;25;Paraíba;0,378;2012;0,679
PE;26;Pernambuco;0,327;2012;0,692
PI;22;Piauí;0,402;2012;0,68
PR;41;Paraná;0,31499999999999995;2012;0,763
RJ;33;Rio de Janeiro;0,246;2012;0,755
RN;24;Rio Grande do Norte;0,35000000000000003;2012;0,695
RO;11;Rondônia;0,37900000000000006;2012;0,708
RR;14;Roraima;0,321;2012;0,761
RS;43;Rio Grande do Sul;0,2759999999999999;2012;0,753
SC;42;Santa Catarina;0,2899999999999999;2012;0,782
SE;28;Sergipe;0,35300000000000004;2012;0,691
SP;35;São Paulo;0,26;2012;0,803
TO;17;Tocantins;0,42800000000000005;2012;0,721
AC;12;Acre;0,352;2013;0,709
AL;27;Alagoas;0,376;2013;0,653
AM;13;Amazonas;0,337;2013;0,717
AP;16;Amapá;0,28700000000000003;2013;0,735
BA;29;Bahia;0,373;2013;0,686
CE;23;Ceará;0,368;2013;0,712
DF;53;Distrito Federal;0,25;2013;0,834
ES;32;Espírito Santo;0,29900000000000004;2013;0,755
GO;52;Goiás;0,32799999999999996;2013;0,753
MA;21;Maranhão;0,388;2013;0,682
MG;31;Minas Gerais;0,33100000000000007;2013;0,751
MS;50;Mato Grosso do Sul;0,30900000000000005;2013;0,741
MT;51;Mato Grosso;0,36300000000000004;2013;0,757
PA;15;Pará;0,34500000000000003;2013;0,684
PB;25;Paraíba;0,378;2013;0,675
PE;26;Pernambuco;0,327;2013;0,708
PI;22;Piauí;0,402;2013;0,7
PR;41;Paraná;0,31499999999999995;2013;0,773
RJ;33;Rio de Janeiro;0,246;2013;0,761
RN;24;Rio Grande do Norte;0,35000000000000003;2013;0,708
RO;11;Rondônia;0,37900000000000006;2013;0,702
RR;14;Roraima;0,321;2013;0,757
RS;43;Rio Grande do Sul;0,2759999999999999;2013;0,762
SC;42;Santa Catarina;0,2899999999999999;2013;0,791
SE;28;Sergipe;0,35300000000000004;2013;0,689
SP;35;São Paulo;0,26;2013;0,809
